model,precision,recall,ndcg,map,mrr
hybrid,0.0050139275766016705,0.022748375116063136,0.01365850700669784,0.007603977833782848,0.015889596321351195
collaborative,0.004178272980501393,0.02147168059424327,0.012990725991241781,0.007673063035180027,0.015304859176725472
positive_count,0.002785515320334262,0.01682915506035283,0.00972152998768432,0.006145589232288397,0.009456935048857053
average_rating,0.002924791086350975,0.01798978644382544,0.008581950563086835,0.00448537972911232,0.006942233717999734
bayesian_average,0.002785515320334262,0.017525533890436394,0.008461607609251229,0.0045041709038923525,0.006893597736216121
content,0.0026462395543175488,0.01288300835654596,0.007240612768299068,0.003752892367098495,0.008369810319671043
most_popular,0.0020891364902506965,0.008588672237697307,0.004886448310398169,0.002398269738102607,0.00566885528584693
random,0.001392757660167131,0.007892293407613741,0.0037546139528077424,0.0019027906736820384,0.0030911482513153823
